ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
B002RI9176,2025-09-21T02:46:49.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:46:03.800Z,45600
B002RI9176,2025-09-21T02:44:52Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:44:42.900Z,9100
B002RI9176,2025-09-21T02:44:43.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:44:31.600Z,11900
B002RI9176,2025-09-21T02:44:32Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:44:09.800Z,22200
B002RI9176,2025-09-21T02:44:10.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:42:29.700Z,100700
B002RI9176,2025-09-21T02:42:30Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:42:13.800Z,16200
B002RI9176,2025-09-21T02:42:14.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:42:07.700Z,6700
B002RI9176,2025-09-21T02:42:08Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:41:57.100Z,10900
B002RI9176,2025-09-21T02:41:51.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:40:31.200Z,80600
B002RI9176,2025-09-21T00:49:07.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T00:48:37.400Z,29800
B002RI9176,2025-09-21T00:48:31.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T00:47:38.900Z,52700
B002RI9176,2025-09-21T00:23:49.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T00:23:24.600Z,25300
B002RI9176,2025-09-21T00:08:59.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T00:08:51.100Z,8300
B002RI9176,2025-09-20T23:50:46Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:49:45.300Z,60700
B002RI9176,2025-09-20T23:39:08.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:39:06.600Z,1900
B002RI9176,2025-09-20T23:34:37.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:33:56.100Z,41100
B002RI9176,2025-09-20T23:32:33.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:32:27.300Z,6500
B002RI9176,2025-09-20T23:30:32.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:30:24.800Z,7900
B002RI9176,2025-09-20T23:30:03.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:29:58.400Z,4800
B002RI9176,2025-09-20T23:27:00.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:24:38.600Z,142000
B002RI9176,2025-09-20T23:23:16.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:22:46.400Z,30000
B002RI9176,2025-09-20T23:20:53.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:20:47.400Z,6200
B002RI9176,2025-09-20T23:20:10.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:20:06.100Z,4100
B002RI9176,2025-09-20T23:18:07.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:17:49.700Z,17600
B002RI9176,2025-09-20T23:17:25.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:17:01.600Z,24100
B002RI9176,2025-09-20T23:16:53.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:16:40.800Z,12500
